"Model","Term","Estimate","SE"
"GEE: Science (Observed)","(Intercept)",3.4747,0.0307
"GEE: Science (Observed)","ns(years, 3)1",-0.1616,0.0659
"GEE: Science (Observed)","ns(years, 3)2",0.7639,0.0447
"GEE: Science (Observed)","ns(years, 3)3",0.0694,0.0392
"GEE: Science (Observed)","education",0.3055,0.0067
"GEE: Scientists (Observed)","(Intercept)",3.3586,0.0286
"GEE: Scientists (Observed)","ns(years, 3)1",-0.37,0.0613
"GEE: Scientists (Observed)","ns(years, 3)2",0.8204,0.0416
"GEE: Scientists (Observed)","ns(years, 3)3",-0.0393,0.0365
"GEE: Scientists (Observed)","education",0.3144,0.0063
